id,carrier_id:id,partner_id:id,type,name,final_partner_id:id,has_final_recipient,option_ids:id
stock_picking_so_colissimo_6J2,delivery_carrier_coliposte_6J,drop_6J_2_res_partner,out,S0078,delivery_carrier_colipostefr.res_partner_honnete,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J3,delivery_carrier_coliposte_6J,drop_6J_3_res_partner,out,S0079,delivery_carrier_colipostefr.res_partner_vencouran,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J4,delivery_carrier_coliposte_6J,drop_6J_4_res_partner,out,S0080,delivery_carrier_colipostefr.res_partner_aze,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J5,delivery_carrier_coliposte_6J,drop_6J_5_res_partner,out,S0081,delivery_carrier_colipostefr.res_partner_dubol,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J6,delivery_carrier_coliposte_6J,drop_6J_6_res_partner,out,S0082,delivery_carrier_colipostefr.res_partner_bi,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J7,delivery_carrier_coliposte_6J,drop_6J_7_res_partner,out,S0083,delivery_carrier_colipostefr.res_partner_dubol,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J8,delivery_carrier_coliposte_6J,drop_6J_8_res_partner,out,S0084,delivery_carrier_colipostefr.res_partner_honnete,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6J9,delivery_carrier_coliposte_6J,drop_6J_9_res_partner,out,S0085,delivery_carrier_colipostefr.res_partner_debord,1,6J_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K0,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_bif,out,S0101,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K1,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_stou,out,S0102,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K2,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_stou,out,S0103,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K3,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_vencouran,out,S0104,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K4,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_baral,out,S0105,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K5,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_dubol,out,S0106,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K6,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_ajum,out,S0107,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K7,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_aze,out,S0108,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K8,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_honnete,out,S0109,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6K9,delivery_carrier_coliposte_6K,delivery_carrier_colipostefr.res_partner_pancuir,out,S0110,,,6K_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA0,delivery_carrier_coliposte_6M,drop_6M_0_res_partner,out,S0126,delivery_carrier_colipostefr.res_partner_ajum,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA1,delivery_carrier_coliposte_6M,drop_6M_1_res_partner,out,S0127,delivery_carrier_colipostefr.res_partner_pancuir,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA2,delivery_carrier_coliposte_6M,drop_6M_2_res_partner,out,S0128,delivery_carrier_colipostefr.res_partner_stou,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA3,delivery_carrier_coliposte_6M,drop_6M_3_res_partner,out,S0129,delivery_carrier_colipostefr.res_partner_vencouran,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA4,delivery_carrier_coliposte_6M,drop_6M_4_res_partner,out,S0130,delivery_carrier_colipostefr.res_partner_aze,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA5,delivery_carrier_coliposte_6M,drop_6M_5_res_partner,out,S0131,delivery_carrier_colipostefr.res_partner_dubol,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA6,delivery_carrier_coliposte_6M,drop_6M_6_res_partner,out,S0132,delivery_carrier_colipostefr.res_partner_bi,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA7,delivery_carrier_coliposte_6M,drop_6M_7_res_partner,out,S0133,delivery_carrier_colipostefr.res_partner_dubol,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA8,delivery_carrier_coliposte_6M,drop_6M_8_res_partner,out,S0134,delivery_carrier_colipostefr.res_partner_honnete,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MA9,delivery_carrier_coliposte_6M,drop_6M_9_res_partner,out,S0135,delivery_carrier_colipostefr.res_partner_bif,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB0,delivery_carrier_coliposte_6M,drop_6M_0_res_partner,out,S0151,delivery_carrier_colipostefr.res_partner_diss,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB1,delivery_carrier_coliposte_6M,drop_6M_1_res_partner,out,S0152,delivery_carrier_colipostefr.res_partner_voj,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB2,delivery_carrier_coliposte_6M,drop_6M_2_res_partner,out,S0153,delivery_carrier_colipostefr.res_partner_honnete,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB3,delivery_carrier_coliposte_6M,drop_6M_3_res_partner,out,S0154,delivery_carrier_colipostefr.res_partner_vencouran,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB4,delivery_carrier_coliposte_6M,drop_6M_4_res_partner,out,S0155,delivery_carrier_colipostefr.res_partner_aze,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB5,delivery_carrier_coliposte_6M,drop_6M_5_res_partner,out,S0156,delivery_carrier_colipostefr.res_partner_dubol,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB6,delivery_carrier_coliposte_6M,drop_6M_6_res_partner,out,S0157,delivery_carrier_colipostefr.res_partner_bi,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB7,delivery_carrier_coliposte_6M,drop_6M_7_res_partner,out,S0158,delivery_carrier_colipostefr.res_partner_dubol,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB8,delivery_carrier_coliposte_6M,drop_6M_8_res_partner,out,S0159,delivery_carrier_colipostefr.res_partner_honnete,1,6M_colipostefr_delivery_carrier_template_NM
stock_picking_so_colissimo_6MB9,delivery_carrier_coliposte_6M,drop_6M_9_res_partner,out,S0160,delivery_carrier_colipostefr.res_partner_debord,1,6M_colipostefr_delivery_carrier_template_NM
